step,interval_index,interval_label,interval_total_count,rank,token_id,token_text_decoded,token_text_raw,token_count,token_ratio_within_interval
100,0,[0.0000, 0.3333),7506,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,4943,0.65853983
100,0,[0.0000, 0.3333),7506,2,15,0,0,773,0.10298428
100,0,[0.0000, 0.3333),7506,3,2452,&gt;&gt;,&gt;&gt;,666,0.08872902
100,0,[0.0000, 0.3333),7506,4,220, ,Ġ,399,0.05315747
100,0,[0.0000, 0.3333),7506,5,16,1,1,123,0.01638689
100,0,[0.0000, 0.3333),7506,6,20,5,5,67,0.00892619
100,0,[0.0000, 0.3333),7506,7,14,/,/,52,0.00692779
100,0,[0.0000, 0.3333),7506,8,19,4,4,46,0.00612843
100,0,[0.0000, 0.3333),7506,9,17,2,2,42,0.00559552
100,0,[0.0000, 0.3333),7506,10,13,.,.,40,0.00532907
100,0,[0.0000, 0.3333),7506,11,400, $,Ġ$,27,0.00359712
100,0,[0.0000, 0.3333),7506,12,279, the,Ġthe,23,0.00306422
100,0,[0.0000, 0.3333),7506,13,624,.\n,.Ċ,19,0.00253131
100,0,[0.0000, 0.3333),7506,14,23,8,8,17,0.00226485
100,0,[0.0000, 0.3333),7506,15,1115, &lt;&lt;,Ġ&lt;&lt;,15,0.00199840
100,0,[0.0000, 0.3333),7506,16,18,3,3,15,0.00199840
100,0,[0.0000, 0.3333),7506,17,24,9,9,13,0.00173195
100,0,[0.0000, 0.3333),7506,18,3015, water,Ġwater,12,0.00159872
100,0,[0.0000, 0.3333),7506,19,22,7,7,12,0.00159872
100,0,[0.0000, 0.3333),7506,20,16107, salary,Ġsalary,10,0.00133227
100,1,[0.3333, 0.6667),1174,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,670,0.57069847
100,1,[0.3333, 0.6667),1174,2,15,0,0,123,0.10477002
100,1,[0.3333, 0.6667),1174,3,2452,&gt;&gt;,&gt;&gt;,108,0.09199319
100,1,[0.3333, 0.6667),1174,4,220, ,Ġ,22,0.01873935
100,1,[0.3333, 0.6667),1174,5,17,2,2,20,0.01703578
100,1,[0.3333, 0.6667),1174,6,16,1,1,12,0.01022147
100,1,[0.3333, 0.6667),1174,7,20,5,5,11,0.00936968
100,1,[0.3333, 0.6667),1174,8,1115, &lt;&lt;,Ġ&lt;&lt;,11,0.00936968
100,1,[0.3333, 0.6667),1174,9,624,.\n,.Ċ,10,0.00851789
100,1,[0.3333, 0.6667),1174,10,19,4,4,9,0.00766610
100,1,[0.3333, 0.6667),1174,11,13,.,.,8,0.00681431
100,1,[0.3333, 0.6667),1174,12,23,8,8,8,0.00681431
100,1,[0.3333, 0.6667),1174,13,820,####,####,8,0.00681431
100,1,[0.3333, 0.6667),1174,14,21,6,6,7,0.00596252
100,1,[0.3333, 0.6667),1174,15,9,*,*,6,0.00511073
100,1,[0.3333, 0.6667),1174,16,18,3,3,6,0.00511073
100,1,[0.3333, 0.6667),1174,17,400, $,Ġ$,6,0.00511073
100,1,[0.3333, 0.6667),1174,18,284, =,Ġ=,6,0.00511073
100,1,[0.3333, 0.6667),1174,19,24,9,9,5,0.00425894
100,1,[0.3333, 0.6667),1174,20,279, the,Ġthe,4,0.00340716
100,2,[0.6667, 1.0000],7648,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,7122,0.93122385
100,2,[0.6667, 1.0000],7648,2,15,0,0,72,0.00941423
100,2,[0.6667, 1.0000],7648,3,16,1,1,40,0.00523013
100,2,[0.6667, 1.0000],7648,4,17,2,2,37,0.00483787
100,2,[0.6667, 1.0000],7648,5,220, ,Ġ,28,0.00366109
100,2,[0.6667, 1.0000],7648,6,21,6,6,28,0.00366109
100,2,[0.6667, 1.0000],7648,7,2452,&gt;&gt;,&gt;&gt;,25,0.00326883
100,2,[0.6667, 1.0000],7648,8,19,4,4,23,0.00300732
100,2,[0.6667, 1.0000],7648,9,28,=,=,22,0.00287657
100,2,[0.6667, 1.0000],7648,10,18,3,3,22,0.00287657
100,2,[0.6667, 1.0000],7648,11,284, =,Ġ=,15,0.00196130
100,2,[0.6667, 1.0000],7648,12,1115, &lt;&lt;,Ġ&lt;&lt;,13,0.00169979
100,2,[0.6667, 1.0000],7648,13,23,8,8,12,0.00156904
100,2,[0.6667, 1.0000],7648,14,820,####,####,12,0.00156904
100,2,[0.6667, 1.0000],7648,15,22,7,7,12,0.00156904
100,2,[0.6667, 1.0000],7648,16,20,5,5,12,0.00156904
100,2,[0.6667, 1.0000],7648,17,400, $,Ġ$,9,0.00117678
100,2,[0.6667, 1.0000],7648,18,13,.,.,9,0.00117678
100,2,[0.6667, 1.0000],7648,19,12,-,-,8,0.00104603
100,2,[0.6667, 1.0000],7648,20,10,+,+,7,0.00091527
