step,interval_index,interval_label,interval_total_count,rank,token_id,token_text_decoded,token_text_raw,token_count,token_ratio_within_interval
1,0,[0.0000, 0.3333),24527,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,11831,0.48236637
1,0,[0.0000, 0.3333),24527,2,15,0,0,4031,0.16434949
1,0,[0.0000, 0.3333),24527,3,2452,&gt;&gt;,&gt;&gt;,3067,0.12504587
1,0,[0.0000, 0.3333),24527,4,220, ,Ġ,1985,0.08093122
1,0,[0.0000, 0.3333),24527,5,16,1,1,1025,0.04179068
1,0,[0.0000, 0.3333),24527,6,17,2,2,839,0.03420720
1,0,[0.0000, 0.3333),24527,7,20,5,5,370,0.01508542
1,0,[0.0000, 0.3333),24527,8,18,3,3,231,0.00941819
1,0,[0.0000, 0.3333),24527,9,19,4,4,194,0.00790965
1,0,[0.0000, 0.3333),24527,10,21,6,6,114,0.00464794
1,0,[0.0000, 0.3333),24527,11,1115, &lt;&lt;,Ġ&lt;&lt;,110,0.00448485
1,0,[0.0000, 0.3333),24527,12,279, the,Ġthe,57,0.00232397
1,0,[0.0000, 0.3333),24527,13,23,8,8,45,0.00183471
1,0,[0.0000, 0.3333),24527,14,22,7,7,34,0.00138623
1,0,[0.0000, 0.3333),24527,15,624,.\n,.Ċ,24,0.00097851
1,0,[0.0000, 0.3333),24527,16,11,\,,\,,23,0.00093774
1,0,[0.0000, 0.3333),24527,17,820,####,####,22,0.00089697
1,0,[0.0000, 0.3333),24527,18,3753, house,Ġhouse,22,0.00089697
1,0,[0.0000, 0.3333),24527,19,315, of,Ġof,20,0.00081543
1,0,[0.0000, 0.3333),24527,20,25103, pets,Ġpets,18,0.00073389
1,1,[0.3333, 0.6667),1923,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,1496,0.77795112
1,1,[0.3333, 0.6667),1923,2,15,0,0,138,0.07176287
1,1,[0.3333, 0.6667),1923,3,2452,&gt;&gt;,&gt;&gt;,134,0.06968279
1,1,[0.3333, 0.6667),1923,4,220, ,Ġ,28,0.01456058
1,1,[0.3333, 0.6667),1923,5,785,The,The,8,0.00416017
1,1,[0.3333, 0.6667),1923,6,820,####,####,6,0.00312012
1,1,[0.3333, 0.6667),1923,7,16,1,1,6,0.00312012
1,1,[0.3333, 0.6667),1923,8,18,3,3,5,0.00260010
1,1,[0.3333, 0.6667),1923,9,374, is,Ġis,4,0.00208008
1,1,[0.3333, 0.6667),1923,10,315, of,Ġof,4,0.00208008
1,1,[0.3333, 0.6667),1923,11,3862,There,There,4,0.00208008
1,1,[0.3333, 0.6667),1923,12,702, has,Ġhas,4,0.00208008
1,1,[0.3333, 0.6667),1923,13,624,.\n,.Ċ,3,0.00156006
1,1,[0.3333, 0.6667),1923,14,1519,He,He,3,0.00156006
1,1,[0.3333, 0.6667),1923,15,279, the,Ġthe,3,0.00156006
1,1,[0.3333, 0.6667),1923,16,525, are,Ġare,3,0.00156006
1,1,[0.3333, 0.6667),1923,17,1052, there,Ġthere,3,0.00156006
1,1,[0.3333, 0.6667),1923,18,2679,If,If,3,0.00156006
1,1,[0.3333, 0.6667),1923,19,576, The,ĠThe,2,0.00104004
1,1,[0.3333, 0.6667),1923,20,2790, total,Ġtotal,2,0.00104004
1,2,[0.6667, 1.0000],174,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,162,0.93103448
1,2,[0.6667, 1.0000],174,2,53665, Janet,ĠJanet,1,0.00574713
1,2,[0.6667, 1.0000],174,3,17090,iza,iza,1,0.00574713
1,2,[0.6667, 1.0000],174,4,8473, runs,Ġruns,1,0.00574713
1,2,[0.6667, 1.0000],174,5,18880, Marc,ĠMarc,1,0.00574713
1,2,[0.6667, 1.0000],174,6,702, has,Ġhas,1,0.00574713
1,2,[0.6667, 1.0000],174,7,54,W,W,1,0.00574713
1,2,[0.6667, 1.0000],174,8,2452,&gt;&gt;,&gt;&gt;,1,0.00574713
1,2,[0.6667, 1.0000],174,9,7794, Thursday,ĠThursday,1,0.00574713
1,2,[0.6667, 1.0000],174,10,20445, Sarah,ĠSarah,1,0.00574713
1,2,[0.6667, 1.0000],174,11,1558, does,Ġdoes,1,0.00574713
1,2,[0.6667, 1.0000],174,12,69554, Cand,ĠCand,1,0.00574713
1,2,[0.6667, 1.0000],174,13,46613, Dana,ĠDana,1,0.00574713
