step,interval_index,interval_label,interval_total_count,rank,token_id,token_text_decoded,token_text_raw,token_count,token_ratio_within_interval
10,0,[0.0000, 0.3333),21557,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,10769,0.49955931
10,0,[0.0000, 0.3333),21557,2,15,0,0,3208,0.14881477
10,0,[0.0000, 0.3333),21557,3,2452,&gt;&gt;,&gt;&gt;,2595,0.12037853
10,0,[0.0000, 0.3333),21557,4,220, ,Ġ,1601,0.07426822
10,0,[0.0000, 0.3333),21557,5,16,1,1,880,0.04082201
10,0,[0.0000, 0.3333),21557,6,17,2,2,689,0.03196178
10,0,[0.0000, 0.3333),21557,7,20,5,5,289,0.01340632
10,0,[0.0000, 0.3333),21557,8,19,4,4,275,0.01275688
10,0,[0.0000, 0.3333),21557,9,21,6,6,192,0.00890662
10,0,[0.0000, 0.3333),21557,10,18,3,3,187,0.00867468
10,1,[0.3333, 0.6667),2601,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,1791,0.68858131
10,1,[0.3333, 0.6667),2601,2,2452,&gt;&gt;,&gt;&gt;,215,0.08266052
10,1,[0.3333, 0.6667),2601,3,15,0,0,138,0.05305652
10,1,[0.3333, 0.6667),2601,4,220, ,Ġ,43,0.01653210
10,1,[0.3333, 0.6667),2601,5,16,1,1,38,0.01460977
10,1,[0.3333, 0.6667),2601,6,17,2,2,24,0.00922722
10,1,[0.3333, 0.6667),2601,7,21,6,6,20,0.00768935
10,1,[0.3333, 0.6667),2601,8,1115, &lt;&lt;,Ġ&lt;&lt;,20,0.00768935
10,1,[0.3333, 0.6667),2601,9,20,5,5,19,0.00730488
10,1,[0.3333, 0.6667),2601,10,23,8,8,18,0.00692042
10,2,[0.6667, 1.0000],1530,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,1090,0.71241830
10,2,[0.6667, 1.0000],1530,2,15,0,0,59,0.03856209
10,2,[0.6667, 1.0000],1530,3,20,5,5,31,0.02026144
10,2,[0.6667, 1.0000],1530,4,16,1,1,30,0.01960784
10,2,[0.6667, 1.0000],1530,5,17,2,2,30,0.01960784
10,2,[0.6667, 1.0000],1530,6,220, ,Ġ,26,0.01699346
10,2,[0.6667, 1.0000],1530,7,284, =,Ġ=,21,0.01372549
10,2,[0.6667, 1.0000],1530,8,1115, &lt;&lt;,Ġ&lt;&lt;,19,0.01241830
10,2,[0.6667, 1.0000],1530,9,2452,&gt;&gt;,&gt;&gt;,18,0.01176471
10,2,[0.6667, 1.0000],1530,10,9,*,*,15,0.00980392
