step,interval_index,interval_label,interval_total_count,rank,token_id,token_text_decoded,token_text_raw,token_count,token_ratio_within_interval
50,0,[0.0000, 0.3333),15669,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,9386,0.59901717
50,0,[0.0000, 0.3333),15669,2,15,0,0,2023,0.12910843
50,0,[0.0000, 0.3333),15669,3,2452,&gt;&gt;,&gt;&gt;,1626,0.10377178
50,0,[0.0000, 0.3333),15669,4,220, ,Ġ,900,0.05743825
50,0,[0.0000, 0.3333),15669,5,16,1,1,340,0.02169890
50,0,[0.0000, 0.3333),15669,6,17,2,2,193,0.01231731
50,0,[0.0000, 0.3333),15669,7,20,5,5,130,0.00829664
50,0,[0.0000, 0.3333),15669,8,19,4,4,129,0.00823282
50,0,[0.0000, 0.3333),15669,9,279, the,Ġthe,58,0.00370158
50,0,[0.0000, 0.3333),15669,10,23,8,8,56,0.00357394
50,0,[0.0000, 0.3333),15669,11,21,6,6,51,0.00325483
50,0,[0.0000, 0.3333),15669,12,13,.,.,50,0.00319101
50,0,[0.0000, 0.3333),15669,13,1115, &lt;&lt;,Ġ&lt;&lt;,44,0.00280809
50,0,[0.0000, 0.3333),15669,14,18,3,3,41,0.00261663
50,0,[0.0000, 0.3333),15669,15,624,.\n,.Ċ,32,0.00204225
50,0,[0.0000, 0.3333),15669,16,400, $,Ġ$,31,0.00197843
50,0,[0.0000, 0.3333),15669,17,24,9,9,27,0.00172315
50,0,[0.0000, 0.3333),15669,18,11,\,,\,,26,0.00165933
50,0,[0.0000, 0.3333),15669,19,22,7,7,25,0.00159551
50,0,[0.0000, 0.3333),15669,20,28,=,=,24,0.00153169
50,1,[0.3333, 0.6667),2674,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,1731,0.64734480
50,1,[0.3333, 0.6667),2674,2,15,0,0,268,0.10022438
50,1,[0.3333, 0.6667),2674,3,2452,&gt;&gt;,&gt;&gt;,194,0.07255049
50,1,[0.3333, 0.6667),2674,4,220, ,Ġ,40,0.01495886
50,1,[0.3333, 0.6667),2674,5,17,2,2,34,0.01271503
50,1,[0.3333, 0.6667),2674,6,1115, &lt;&lt;,Ġ&lt;&lt;,24,0.00897532
50,1,[0.3333, 0.6667),2674,7,16,1,1,21,0.00785340
50,1,[0.3333, 0.6667),2674,8,20,5,5,20,0.00747943
50,1,[0.3333, 0.6667),2674,9,13,.,.,16,0.00598355
50,1,[0.3333, 0.6667),2674,10,19,4,4,13,0.00486163
50,1,[0.3333, 0.6667),2674,11,624,.\n,.Ċ,11,0.00411369
50,1,[0.3333, 0.6667),2674,12,18,3,3,11,0.00411369
50,1,[0.3333, 0.6667),2674,13,21,6,6,11,0.00411369
50,1,[0.3333, 0.6667),2674,14,773, so,Ġso,9,0.00336574
50,1,[0.3333, 0.6667),2674,15,9,*,*,9,0.00336574
50,1,[0.3333, 0.6667),2674,16,28,=,=,9,0.00336574
50,1,[0.3333, 0.6667),2674,17,400, $,Ġ$,9,0.00336574
50,1,[0.3333, 0.6667),2674,18,279, the,Ġthe,8,0.00299177
50,1,[0.3333, 0.6667),2674,19,315, of,Ġof,7,0.00261780
50,1,[0.3333, 0.6667),2674,20,11,\,,\,,7,0.00261780
50,2,[0.6667, 1.0000],3185,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,2458,0.77174254
50,2,[0.6667, 1.0000],3185,2,15,0,0,76,0.02386185
50,2,[0.6667, 1.0000],3185,3,16,1,1,49,0.01538462
50,2,[0.6667, 1.0000],3185,4,17,2,2,49,0.01538462
50,2,[0.6667, 1.0000],3185,5,2452,&gt;&gt;,&gt;&gt;,47,0.01475667
50,2,[0.6667, 1.0000],3185,6,220, ,Ġ,40,0.01255887
50,2,[0.6667, 1.0000],3185,7,28,=,=,34,0.01067504
50,2,[0.6667, 1.0000],3185,8,20,5,5,32,0.01004710
50,2,[0.6667, 1.0000],3185,9,19,4,4,31,0.00973312
50,2,[0.6667, 1.0000],3185,10,21,6,6,28,0.00879121
50,2,[0.6667, 1.0000],3185,11,1115, &lt;&lt;,Ġ&lt;&lt;,26,0.00816327
50,2,[0.6667, 1.0000],3185,12,23,8,8,25,0.00784929
50,2,[0.6667, 1.0000],3185,13,284, =,Ġ=,22,0.00690738
50,2,[0.6667, 1.0000],3185,14,13,.,.,22,0.00690738
50,2,[0.6667, 1.0000],3185,15,18,3,3,20,0.00627943
50,2,[0.6667, 1.0000],3185,16,24,9,9,14,0.00439560
50,2,[0.6667, 1.0000],3185,17,9,*,*,12,0.00376766
50,2,[0.6667, 1.0000],3185,18,11,\,,\,,11,0.00345369
50,2,[0.6667, 1.0000],3185,19,315, of,Ġof,11,0.00345369
50,2,[0.6667, 1.0000],3185,20,400, $,Ġ$,10,0.00313972
